original,normalized,website
ACE LIBERTY AND STONE PLC,Ace Liberty and Stone PLC,
ACE MANAGEMENT AND SERVICES LIMITED,Ace Management & Services Ltd.,
ACI WORLDWIDE (EMEA) LTD,Aci Worldwide Ltd.,aciworldwide.com
ACI WORLDWIDE EMEA LIMITED,Aci Worldwide Ltd.,aciworldwide.com
ADAM2020 LIMITED,Adam Ltd.,
ADARO OPTICS LIMITED,Adaro Optics Ltd.,
ADDISON HUNT LIMITED,Addison Hunt Ltd.,
ADECCO UK AND I,Adecco,adecco.co.uk
ADELE STREET LIMITED,Adele Street Ltd.,
ADOBE PROPERTY DEVELOPMENTS LIMITED,Adobe Systems Software Ireland Ltd.,adobe.com
ADOBE SYSTEMS SOFTWARE IRELAND LIMI,Adobe Systems Software Ireland Ltd.,adobe.com
ADT FIRE AND SECURITY LIMITED,Adt Fire & Security PLC,adt.com
ADT FIRE AND SECURITY PLC,Adt Fire & Security PLC,adt.com
ADUR DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
ADW HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
AG RETAIL NUM 4 LIMITED,Ag Retail Ltd.,
AG RETAIL NUM 5 LIMITED,Ag Retail Ltd.,
AG RETAIL NUM 6 LIMITED,Ag Retail Ltd.,
AGI WORLD LIMITED TA SPARK,Agi World Ltd.,
AGIITO LIMITED,Agiito Ltd.,
AGL,Agl,
AIG EUROPE LIMITED,Aig Europe Ltd.,aig.com
AIO PARTNERS LTD,Aio Partners Ltd.,
AIRBORNE ENVIRONMENTAL CONSULTANTS,Airborne Environmental Consultants,
AIRBOURNE ENVIRONMENTAL CONSULTANTS LIMITED,Airborne Environmental Consultants,
AIRSHIP INC,Airship Inc.,
AK HUSSAIN ESTATES LIMITED,Ak Hussain Estates Ltd.,
AKP REAL ESTATE LIMITED,Akp Real Estate Ltd.,
ALAN AND MARTINE MCCLURE,Alan & Martine Mcclure,
ALAN BREMNER AND MAURICE SAMAIN,Alan Bremner & Maurice Samain,
ALAN JONES AND ASSOCIATES LIMITED,Alan Jones & Associates Ltd.,
ALCANN LIMITED,Alcann Ltd.,
ALEXANDER BONAR AND COMPANY LIMITED,Alexander Bonar & Co. Ltd.,
ALEXANDER LLOYD,Alexander Lloyd,
ALFAPLAS LIMITED,Alfaplas Ltd.,
ALGOLIA S.A.S.,Algolia,algolia.com
ALL ROUND SECURITY CONSULTANTS LIMI,All Round Security Consultants Ltd.,
ALLERDALE BOROUGH COUNCIL,Allerdale Borough Council,allerdale.gov.uk
ALLIANCE HEALTHCARE DISTRIBUTION LI,Alliance Healthcare Distribution,alliancehealthcare.com
ALLIANCE HEALTHCARE DISTRIBUTION LIMITED,Alliance Healthcare Distribution,alliancehealthcare.com
ALLIANCE HEALTHCARE ITALIA,Alliance Healthcare Italia,
ALLIANCE MANAGING AGENTS LIMITED,Alliance Managing Agents Ltd.,
ALLIANZ ENGINEERING INSPECTION SERV,Allianz Engineering Inspection Service,allianz.com
ALLOGA UK LIMITED,Alloga UK Ltd.,alloga.co.uk
ALLSTONES PROPERTIES,Allstones Properties,
ALPHA PHARMACEUTICALS LIMITED,Alpha Pharmaceuticals Ltd.,
ALPHACHOICE LIMITED,Alphachoice Ltd.,
ALTERNATE LOCUMS,Alternate Locums,
ALTERNATIVE ESTATES LIMITED,Alternative Estates Ltd.,
ALTITUDE PM LLP,Altitude Pm LLP,
ALWYD LIMITED,Alwyd Ltd.,
AM 2 PM INDUSTRIAL SOLUTIONS LIMITED,Am 2 Pm Industrial Solutions,
AM 2 PM RECRUITMENT SERVICES LIMITE,Am 2 Pm Recruitment Services,
AMALGAMATED FACILITIES MANAGEMENT,Amalgamated Facilities Management,
AMAS LIMITED,Amas Ltd.,
AMAS LIMITED/COMMON RECEIPTS ACCOUN,Amas Ltd.,
AMAS LTD COMMON RECEIPTS ACCOUNTS,Amas Ltd.,
AMBER BALE AND COMPACT LIMITED,Amber Bale & Compact Ltd.,
AMBER VALLEY BOROUGH COUNCIL,Amber Valley Borough Council,testvalley.gov.uk
AMBERSTONE TECHNOLOGY LIMITED,Amberstone Technology Ltd.,
AMBERSTONE TECHNOLOGY LIMTED,Amberstone Technology Ltd.,
AMC PROPERTY LIMITED,Ehj Property Ltd.,
AMERICAN EXPRESS,American Express,americanexpress.com
AMEY TPT LIMITED,Amey Tpt Ltd.,amey.co.uk
AMK RENTALS LIMITED,Amk Rentals Ltd.,
AMPLIENCE UK LIMITED,Amplience UK Ltd.,amplience.com
AMPLIFI GROUP LIMITED,Amplifi Group Ltd.,
AMSPROP INVESTMENTS LIMITED,Aon Investments Ltd.,aon.com
AN POST,An Post,anpost.com
ANCHOR MEADOW LIMITED,Anchor Meadow Ltd.,
ANDREW AND ASHWELL LIMITED,Andrew & Ashwell Ltd.,
ANDREW DIXON AND COMPANY LIMITED,Andrew Dixon and Co. Ltd.,
ANDREWS INTERNATIONAL LIMITED,Andrews International Ltd.,
ANDSOME LIMITED,Andsome Ltd.,
ANDUFF CAR WASH LIMITED,Anduff Car Wash,
ANGUS COUNCIL,Angus Council,
ANKAV PROPERTIES LIMITED,Manica Properties Ltd.,
ANNE ADAM,Anne Adam,
ANTHONY KWANG AUN CHONG,Anthony Kwang Aun Chong,
AON INVESTMENTS LIMITED,Aon Investments Ltd.,aon.com
AON SOLUTIONS UK LIMITED,Aon Investments Ltd.,aon.com
APA LEICESTER LIMITED,Apa Leicester Ltd.,
APAM LIMITED,A P a Ltd.,
APB LEICESTER LLP,Apb Leicester LLP,
APIGEE CORPORATION,Apigee Corp.,cloud.google.com
APML ESTATE LIMITED,Akp Real Estate Ltd.,
APOLLO MULTI TECHNICAL SERVICES,Apollo Multi Technical Services,
APPDYNAMICS UK LTD,Appdynamics Ltd.,appdynamics.com
APPLETON ESTATES LIMITED,Appleton Estates Ltd.,
APRIROSE LIMITED,Waitrose Ltd.,waitrose.com
AQUA DEW LLP,Aqua Dew LLP,
ARAMARK PROPERTY SERVICES LIMITED,Monarch Property Services,nhspropertyservices.co.uk
ARCUS FM LIMITED,Arcus Fm Ltd.,arcusfm.com
AREAWISE LIMITED,Areawise Ltd.,
ARENA HOSPITALITY LIMITED,Arena Hospitality Ltd.,
ARENA PROPERTIES LIMITED,Manica Properties Ltd.,
ARGYLL AND BUTE COUNCIL,Argyll & Bute Council,argyll-bute.gov.uk
ARIS GLOBAL,Aris Global,arisglobal.com
ARISGLOBAL LIMITED,Arisglobal Ltd.,
ARNOTT ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
ARROW INDUSTRIAL GROUP LIMITED,Arrow Industrial Group Ltd.,
ARUN DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
ARVAL (FKA GE),Arval,arval.com
ARVAL UK LIMITED,Arval UK Ltd.,arval.co.uk
ASA GROUP LIMITED,Estama Group Ltd.,
ASDA STORES LTD,Asda Stores,asda.com
ASE CORPORATE EYECARE LIMITED,Ase Corp.,
ASED 91 LIMITED,Ased 91 Ltd.,
ASEL INTEGRATED SECURITY SOLUTIONS,Asel Integrated Security Solutions,
ASHDOWN PHILLIPS & PARTNERS LIMITED,Ashdown Phillips & Partners,
ASHDOWN PHILLIPS AND PARTNERS LIMIT,Ashdown Phillips & Partners,
ASHFIELD DISTRICT COUNCIL,Ashfield District Council,ashfield.gov.uk
ASHFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
ASHVILLE MEDIA GROUP LIMITED,Ashville Media Group Ltd.,
ASHWOODS LIGHTFOOT LIMITED,Ashwoods Lightfoot Ltd.,
ASPECT SURVEYORS LIMITED,Aspect Surveyors Ltd.,
ASR PREMIER PROPERTIES LIMITED,Asr Premier Properties Ltd.,
ASSOSIA LIMITED,Assosia Ltd.,
ASSURA ASPIRE LIMITED,Assura Aspire UK Ltd.,assura.co.uk
ASSURA ASPIRE UK LIMITED,Assura Aspire UK Ltd.,assura.co.uk
ASSURA HC LIMITED,Assura Aspire UK Ltd.,assura.co.uk
ASSURA HC UK LIMITED,Assura Aspire UK Ltd.,assura.co.uk
ASSURA MEDICAL CENTRES LIMITED,Assura Aspire UK Ltd.,assura.co.uk
ASSURA SC2 LIMITED,Assura Sc2 Ltd.,
ASSURE CONSULTING BEDFORD LIMITED,Assure Consulting Bedford Ltd.,
ASTERISK LIMITED,Asterisk Ltd.,
ASTLEY SIGNS LIMITED,Astley Signs Ltd.,
AT MANAGEMENT LIMITED,Right Management,rightmanagement.com
AT PROJECTS LIMITED,Cool Projects Ltd.,
ATLAS PROPERTY LETTING AND SERVICES,Atlas Property Letting & Services,
ATMORE DEVELOPMENTS LIMITED,Marlin Developments Ltd.,
AUCKLAND ESTATES LIMITED,Rutland Estates Ltd.,
AUDIENCE COLLECTIVE LIMITED,Audience Collective Ltd.,
AUDLEY MANAGMENT,Audley Management,audleytravel.com
AUFAT RUSOOL ALI AND SHAHIDA SANA U,Aufat Rusool Ali & Shahida Sana U,
AUTODRIVE LIMITED,Autodrive Ltd.,
AUTOMATION ANYWHERE INC,Automation Anywhere,automationanywhere.com
AVERY WEIGH TRONIX LIMITED,Avery Weigh-Tronix Ltd.,averyweigh-tronix.com
AVISON YOUNG REAL ESTATE FINANCE,Avison Young,avisonyoung.com
AVISON YOUNG UK LIMITED,Avison Young,avisonyoung.com
AVNET TECHNOLOGY SOLUTIONS LIMITED,Avnet Technology Solutions Ltd.,avnet.com
AVON ASSOCIATES PROPERTIES LIMITED,Avon Associates Properties Ltd.,avonassociates.com
AVRIL JOSEPHINE JESSEY,Avril Josephine Jessey,
AWIN LIMITED,Awin Ltd.,awin.com
AXA PPP HEALTHCARE LIMITED,Axa Ppp Healthcare,axappphealthcare.co.uk
AYRSHIRE & ARRAN HEALTH BOARD,Ayrshire and Arran Health Board,
AZE INVESTMENTS LIMITED,Oakfield Investments Ltd.,
B BAILEY PROPERTY MANAGEMENT,B Bailey Property Management,
BAA BUSINESS SUPPORT CENTRE LIMITED,Baa Business Support Centre,
BABERGH DISTRICT COUNCIL,Babergh District Council,babergh.gov.uk
BAGINSKY COHEN CLIENT ACCOUNT,Baginsky Cohen,
BALAMIK INSTRUMENTS HOLDINGS LIMITE,Balamik Instruments Holdings Ltd.,
BALLINASKEAGH PROPERTIES LIMITED,Balliniskeagh Properties Ltd.,
BAMBOO ROSE,Bamboo Rose,bamboorose.com
BANK OF AMERICA MERRILL LYNCH,Bank of America Merrill Lynch,bankofamerica.com
BANKS LONG AND CO LIMITED,Banks Long & Co. Ltd.,
BANNON COMMERCIAL PROPERTY,Bannon Commercial Property,
BANNON COMMERCIAL PROPERTY CONSULTA,Bannon Commercial Property,
BANYAN MOON PROPERTIES LIMITED,Banyan Moon Properties Ltd.,
BARBARA BARBER,Barbara Barber,
BARCLAYS BANK PLC,Barclays Bank,barclays.co.uk
BARKER BRETTELL LLP,Barker Brettell LLP,barkerbrettell.co.uk
BARKERS NORTHALLERTON LIMITED,Barkers Northallerton,
BARLOWS SERVICES  LIMITED,Barlows Services Ltd.,
BARNSDALES LIMITED,Barnsdales Ltd.,
BARNSLEY COMMUNITY SOLUTIONS TRANCH,Barnsley Community Solutions,
BARNSLEY METROPOLITAN BOROUGH COUNC,Dudley Metropolitan Borough Council,dudley.gov.uk
BARON MANAGEMENT LIMITED,Right Management,rightmanagement.com
BARROWS LONDON LIMITED,Barrows London Ltd.,
BARTECH INDUSTRIAL SERVICES LIMITED,Bartech Industrial Services,bartechgroup.com
BARTRA CAPITAL PROPERTY MANAGEMENT,Bartra Capital Property Management,bartracapital.com
BASIC LINE 2 LIMITED,Basic Line Ltd.,
BASILDON DISTRICT COUNCIL,Wealden District Council,wealden.gov.uk
BASINGSTOKE AND DEANE BOROUGH COUNC,Basingstoke & Deane Borough Council,basingstoke.gov.uk
BASSETLAW DISTRICT COUNCIL,Bassetlaw District Council,bassetlaw.gov.uk
BATH AND NORTH EAST SOMERSET,Bath & North East Somerset,
BAXTERSTOREY LIMITED,Baxterstorey,baxterstorey.com
BBR ROOFING LIMITED,Bbr Roofing Ltd.,
BCM COSMETIQUE SA,Bcm Cosmetique,
BCM LIMITED,Hwbc Ltd.,
BCP ASSET MANAGEMENT LIMITED,Right Management,rightmanagement.com
BEACON MEDICAL GROUP,Beacon Medical Group,
BEAMGLOW LIMITED,Beamglow Ltd.,
BECKSIDE DEVELOPMENTS LIMITED,Beckside Developments Ltd.,
BECTON DICKINSON DISPENSING IRELAND,Becton Dickinson Dispensing,bd.com
BECTON DICKINSON DISPENSING UK LIMI,Becton Dickinson Dispensing,bd.com
BEDFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
BEESTON SITE SERVICES LIMITED,Beeston Site Services,
BELFAST INTERNATIONAL AIRPORT LIMIT,Newcastle International Airport,newcastleairport.com
BELLROCK PROPERTY AND FACILITIES,Bellrock Property & Facilities,
BENEFEX LIMITED,Benefex Ltd.,benefex.co.uk
BENEFIT COSMETICS LIMITED,Benefit Cosmetics Ltd.,benefitcosmetics.com
BENIA TRADING LIMITED,Sbr Trading Ltd.,
BERLIN PACKAGING UK LIMITED,Berlin Packaging,berlinpackaging.com
BERTHOLD TYPE GROUP LLC,Berthold Type Group,
BESAM LIMITED,Bsria Ltd.,bsria.co.uk
BEST CONNECTION,Best Connection,
BETTER PLACED RECRUITMENT GROUP LIMITED,Better Placed Recruitment Group,betterplaced.com
BETTER PLACED RECRUITMENT LIMITED,Better Placed Recruitment Group,betterplaced.com
BEXLEY COUNCIL,Bexley Council,bexley.gov.uk
BHSF LIMITED,Bhsf Ltd.,
BIE EXECUTIVE LIMITED,Bie Executive Ltd.,
BILFINGER GVA,Bilfinger,bilfinger.com
BILO PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
BIO ENGINEERING SERVICES,Bio Engineering Services,
BIOSCREEN TESTING SERVICES INC,Bioscreen Testing Services Inc.,
BIRMINGHAM & SOLIHULL LIFT FUNDCO1,Birmingham & Solihull Lift Fund,
BIRMINGHAM AIRPORT LIMITED,Birmingham Airport Ltd.,birminghamairport.co.uk
BIRMINGHAM CITY COUNCIL,Birmingham City Council,birmingham.gov.uk
BIRMINGHAM INTERNATIONAL AIRPORT LT,Birmingham Airport Ltd.,birminghamairport.co.uk
BISHOPSGATE INVESTMENTS LIMITED,Bishopsgate Investments Ltd.,
BJB PROFESSIONAL SERVICES LIMITED,Bjb Professional Services Ltd.,
BLABY DISTRICT COUNCIL,Babergh District Council,babergh.gov.uk
BLACK AND GRANGE INVESTMENTS,Black & Grange Investments,
BLACK STRATEGIES LIMITED,Black Strategies Ltd.,
BLACKBURN WITH DARWEN BORGH COUNCIL,Blackburn with Darwen Borough Council,blackburn.gov.uk
BLACKHAWK NETWORK EUROPE LIMITED,Blackhawk Network Europe Ltd.,blackhawknetwork.com
BLACKPOOL BOROUGH COUNCIL,Blackpool Borough Council,blackpool.gov.uk
BLACKSHEEP NOTTINGHAM LIMITED,Blacksheep Nottingham,
BLACKSTAR INVESTMENTS LIMITED,Blackstar Investments Ltd.,
BLUE DEER LIMITED,Blue Deer Ltd.,
BLUE TRIANGLE TECHNOLOGIES INC,Blue Triangle Technologies Inc.,
"BLUE YONDER, INC.",Blue Yonder Inc.,blueyonder.com
BLUEPOINT SERVICES LIMITED,Lucion Services Ltd.,
BLUESTONES ONE MERCHANDISING LIMITE,Bluestones One Merchandising Ltd.,
BLUJAY SOLUTIONS LIMITED,Blujay Solutions,
BMC SOFTWARE INC,Bmc Software Ltd.,bmc.com
BMC SOFTWARE LIMITED,Bmc Software Ltd.,bmc.com
BNP PARIBAS REAL ESTATE ADVISORY &,Bnp Paribas Real Estate Advisory,realestate.bnpparibas
BOBBI BROWN,Bobbi Brown,bobbibrowncosmetics.com
BODDY & EDWARDS,Boddy & Edwards,
BOLTON METROPOLITAN BOROUGH COUNCIL,Dudley Metropolitan Borough Council,dudley.gov.uk
BOMBUERA ESTATES LTD,Bombuera Estates,
BOOTH ST ESTATES LIMITED,Booth St Estates Ltd.,
BOOTS MANAGEMENT SERVICES LIMITED,Boots Opticians,boots.com
BOOTS OPTICIANS PROFESSIONAL SERVIC,Boots Opticians,boots.com
BOOTS PROPERTY PARTNERSHIP,Boots Property Partnership,boots.co.uk
BOOTS RETAIL IRELAND LIMITED,Boots Retail Ireland,boots.ie
BOOTS RETAIL THAILAND LIMITED,Boots Retail Ireland,boots.ie
BOOTS UK I/CO PROPERTY,Boots Opticians,boots.com
BOROUGH COUNCIL OF WELLINGBOROUGH,Borough Council of Wellingborough,
BOROUGH OF BROXBOURNE,Borough of Broxbourne,
BOROUGH OF OADBY AND WIGSTON,Borough of Oadby & Wigston,
BOROUGH OF POOLE,Borough of Poole,
BOROUGH OF SPELTHORNE,Borough of Spelthorne,
BOSTON BOROUGH COUNCIL,Luton Borough Council,luton.gov.uk
BOSTON CONSULTING GROUP,Boston Consulting Group,bcg.com
BOTHAMS,Bothams,
BOURNE UNITED CHARITIES,Bourne United Charities,
BOURNEMOUTH CHRISTCHURCH AND,Bournemouth Christchurch and,
BOWDEN AND SONS LIMITED,Bowden & Sons Ltd.,
BOX CLEVER MARKETING INTELLIGENCE,Box Clever Marketing Intelligence,
BOYDFIELD LIMITED,Boydfield Ltd.,
BPA SEARCH INTERNATIONAL LIMITED,Bpa Search International,
BPL MANAGEMENT LIMITED,Right Management,rightmanagement.com
BRACEWOOD LIMITED,Bracewood Ltd.,
BRACHERS LLP,Brachers LLP,brachers.co.uk
BRACKENRIDGE HANSON TATE LIMITED,Brackenridge Hanson Tate Ltd.,
BRACKNELL FOREST BOROUGH COUNCIL,Bracknell Forest Borough Council,
BRADFORD AND AIREDALE COMMUNITY,Bradford & Airedale Community,
BRADFORD METROPOLITAN DISTRICT CNCL,Bradford Metropolitan District Council,
BRADLEY HALL LIMITED,Bradley Hall Ltd.,
BRAIN LABS DIGITAL LIMITED,Brain Labs Digital,
BRAINTREE DISTRICT COUNCIL,Braintree District Council,braintree.gov.uk
BRAND POTENTIAL LIMITED,Brand Potential Ltd.,
BRAND RETAIL LIMITED,Brand Retail Ltd.,
BRASIER FREETH LLP,Brasier Freeth LLP,
BREATHFULL 12 LIMITED,Breathfull Ltd.,
BREATHFULL 2 LIMITED,Breathfull Ltd.,
BRECKLAND COUNCIL,Breckland Council,breckland.gov.uk
BRENNTAG UK LIMITED,Brenntag UK Ltd.,brenntag.com
BRENTWOOD BOROUGH COUNCIL,Brentwood Borough Council,brentwood.gov.uk
BRETTON PROPERTIES 1 AND 2 LIMITED,Bretton Properties Ltd.,
BRIAN SIMON WINOGRAD,Brian Simon Winograd,
BRIDGEND COUNTY BOROUGH COUNCIL,Bridgend County Borough Council,bridgend.gov.uk
BRIDGEWOOD MANAGEMENT LIMITED,Bridgewood Management,
BRIGHTBEECH PROPERTY LIMITED,Brightbeech Property Ltd.,
BRIGHTON AND HOVE COUNCIL,Brighton & Hove Council,brighton-hove.gov.uk
BRIGHTSTONE RECRUITMENT LIMITED,Brightstone Recruitment Ltd.,
BRINKS CASH SERVICES (IRELAND) LIMITED,Brinks Cash Services,brinks.com
BRINKS CASH SERVICES IRELAND LIMITE,Brinks Cash Services,brinks.com
BRISTOL AIRPORT LIMITED,Bristol Airport Ltd.,bristolairport.co.uk
BRISTOL CITY COUNCIL,Bristol City Council,bristol.gov.uk
BRISTOL INFRACARE LIFT 1 LIMITED,Bristol Infracare Lift Ltd.,
BRITISH AIRWAYS,British Airways,britishairways.com
BRITISH LAND PROP MNGM LTD-SERV/CH,British Land Property Management Ltd.,
BRITISH LAND PROPERTY SERVICES LIMI,British Land Property Services Ltd.,
BRITISH RETAIL CONSORTIUM,British Retail Consortium,brc.org.uk
BRITISH TELECOMMUNICATIONS PLC,Bt PLC,bt.com
BROADHILL INVESTMENTS LIMITED,Abraham Investments Ltd.,
BROMSGROVE DISTRICT COUNCIL,Bromsgrove District Council,bromsgrove.gov.uk
BROMWICH HARDY LLP,Bromwich Hardy LLP,
BROOKCOURT SOLUTIONS LIMITED,Brookcourt Solutions Ltd.,
BROOKHOUSE (PRESCOT) LIMITED,Brookhouse Ltd.,
BROWN AND COMPANY PROPERTY AND BUSI,Brown & Co.,
BROWN AND LEE LLP,Brown & Lee LLP,
BROWNE JACOBSON LLP,Browne Jacobson LLP,brownejacobson.com
BROXTOWE BOROUGH COUNCIL,Broxtowe Borough Council,broxtowe.gov.uk
BRUEGMANN USA INC,Bruegmann USA Inc.,
BRUNEL HEALTHCARE MANUFACTURING,Brunel Healthcare Manufacturing,
BRUNTWOOD LIMITED,Bruntwood Ltd.,bruntwood.co.uk
BSRIA LIMITED,Bsria Ltd.,bsria.co.uk
BT PLC,Bt PLC,bt.com
BUBBLE INNOVATOR LIMITED,Bubble Innovator Ltd.,
BUCKINGHAMSHIRE COUNCIL,Buckinghamshire Council,buckinghamshire.gov.uk
BUENAVENTURA PROPERTIES,Buenaventura Properties,
BUNZL RETAIL AND HEALTHCARE SUPPLIE,Bunzl Retail & Healthcare Supplies,bunzl.com
BUNZL RETAIL SUPPLIES,Bunzl Retail & Healthcare Supplies,bunzl.com
BURGH PROPERTIES LIMITED,Youmar Properties Ltd.,
BURLINGTON RE PROPERTY MANAGEMENT,Burlington Real Property Management,
BURNLEY BOROUGH COUNCIL,Eastbourne Borough Council,eastbourne.gov.uk
BUSH CONSULTANTS,Bush Consultants,
BUSHBUY LIMITED,Bushbuy Ltd.,
BUSINESS CONSULTING CENTER SP ZOO,Business Consulting Center Sp. Z O. o.,
BUSINESS DESIGN CENTRE LIMITED,Business Design Centre,
BUSINESS STREAM,Business Stream,
BUTTERCUPS TRAINING LIMITED,Buttercups Training Ltd.,
BVK ELEKTRA 2 LIFFEY PHASE 1 ICAV,Bvk Elektra,
BW SIPP LLP,Bw Sipp LLP,
C & R DAVIES LIMITED,C & R Davies Ltd.,
C2FO LTD,C2fo Ltd.,c2fo.com
C4DI VENTURES LIMITED,C4di Ventures Ltd.,
CA BLACKWELL CONRACTS LIMITED,Ca Blackwell Contracts Ltd.,
CACI LIMITED,Caci Ltd.,caci.com
CADOGAN ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
CADXTRA LTD,Cadxtra Ltd.,
CAERPHILLY COUNTY BOROUGH COUNCIL,Caerphilly County Borough Council,caerphilly.gov.uk
CALDERDALE COUNCIL,Calderdale Council,calderdale.gov.uk
CAM BRENNAN JAK LEGHARI JM LONGLEY,Cam Brennan Jak Leghari Jm Longley,
CAMASCOPE LIMITED,Camascope Ltd.,
CAMBRIDGE CITY COUNCIL,Cambridge City Council,cambridge.gov.uk
CAMERON RAINEY PROPERTIES LIMITED,Cameron Rainey Properties Ltd.,
CANADA LIFE ASSET MANAGEMENT LIMITE,Canada Life Ltd.,canadalife.com
CANADA LIFE LIMITED,Canada Life Ltd.,canadalife.com
CANADA LIFE LTD,Canada Life Ltd.,canadalife.com
CANAL AND RIVER TRUST,Canal & River Trust,canalrivertrust.org.uk
CANARY WHARF MANAGEMENT LIMITED,Canary Wharf Management Ltd.,canarywharf.com
CANARY WHARF RETAIL LIMITED,Canary Wharf Retail Ltd.,
CANEO ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
CANNOCK CHASE DISTRICT COUNCIL,Cannock Chase District Council,cannockchasedc.gov.uk
CANNON STREET INVESTMENTS LIMITED,Cannon Street Investments Ltd.,
CANTERBURY CITY COUNCIL,Canterbury City Council,canterbury.gov.uk
CAPITAL AND REGIONAL PLC,Capital & Regional PLC,capitalandregional.com
CAPITAL AND REGIONAL PROPERTY MANAG,Capital and Regional Property Management,
CARBON PROFILE LIMITED,Carbon Profile Ltd.,
CARD COMMERCE LIMITED TA SAVVY,Card Commerce Ltd.,
CARDIFF AND VALE UNIVERSITY HEALTH,Cardiff & Vale University Health,cardiffandvaleuhb.wales
CARDIFF COUNCIL,Cardiff Council,cardiff.gov.uk
CARDINAL PROJECT MANAGEMENT LIMITED,Cardinal Project Management,
CARGO OVERSEAS LIMITED,Cargo Overseas Ltd.,
CARLSON WAGONLIT TRAVEL,Cwt Global,cwt.com
CARLSON WAGONLIT UK LIMITED,Carlson Wagonlit,carlsonwagonlit.com
CARMARTHENSHIRE COUNTY COUNCIL,Carmarthenshire County Council,carmarthenshire.gov.wales
CARVETI PARTNERSHIP LIMITED,Veritas Partnership Ltd.,
CASTLE ASSETS AND INVESTMENTS LIMIT,Castle Assets & Investments Ltd.,
CASTLE POINT BOROUGH COUNCIL,Castle Point Borough Council,castlepoint.gov.uk
CASTLECAP INVESTMENTS MANAGEMENT,Castlecap Investments Management,castlecap.com
CATHERINE THOMAS,Catherine Thomas,
CATTANEO PROFESSIONAL SERVICES LIMI,Cattaneo Professional Services Ltd.,
CAUSEWAY ASSET MANAGEMENT LIMITED,Levy Asset Management Ltd.,
CAXTON HOUSE INVESTMENTS LIMITED,Caxton House Investments Ltd.,
CAXTONS COMMERCIAL LIMITED,Hootons Commercial Ltd.,
CB RICHARD ELLIS LIMITED,Cbre Managed Services Ltd.,cbre.com
CBGA ROBSON LLP,Cbga Robson LLP,
CBRE,Cbre Managed Services Ltd.,cbre.com
CBRE ADVISORY IRL LIMITED,Cbre Managed Services Ltd.,cbre.com
CBRE LIMITED,Ncr Ltd.,ncr.com
CBRE MANAGED SERVICES LIMITED,Cbre Managed Services Ltd.,cbre.com
CBRE MANAGED SERVICES LTD.,Cbre Managed Services Ltd.,cbre.com
CDS GROUP SERVICES LIMITED,Cds Group Services,
CDS TECHNOLOGY SERVICES LIMITED,Cds Technology Services Ltd.,
CDW LIMITED,Cewe Ltd.,cewe.com
CEGEDIM RX LIMITED,Cegedim Rx Ltd.,cegedim.com
CENTODEC LIMITED,Centodec Ltd.,
